,Review
2731,"Lo único que no me gusto es que mandan cargador y cable genéricos, he comprado ya otros iphone reacondicionados y me llegan con cargador y cable original, fue el único detalle por lo demás bien"
2732,"Hasta ahora , me pareció una súper compra. Estética de 100, funciona a la perfección, buen rendimiento de batería. Superó mis espectativas y llegó al día siguiente que lo ordené."
2733,"Llevo 1 semana usándolo y cumple con lo que ofrece el vendedor, me llego con estética general de 98, muy cuidado y la batería al 88%Lo recomiendo solo a las personas que les interesa sacarlo a MSI com BBVA, ya que por el precio conviene uno nuevoAún así, fue mi primer compra en Amazon y me voy más que satisfecho"
2734,"El producto está bien y funciona a la perfección, solo que si tiene varios detalles, la pintura rayada en las esquinas y 2 rayones un poco visibles en la pantalla, cargador genérico que claramente no es de carga rápida, considero que puedes encontrar iPhones de mejor calidad en lugares de segunda mano."
2735,"Al principio tenia mis dudas sobre comprarlos, pero el teléfono llegó como si fuera nuevo, funciona al 100. Lo único que no te pero que ya había leído es que su batería está al 85%. En realidad es una súper compra, por el precio :)."
2736,Era para mi hija y lleva varias semanas usándolo  mucho y no ha dado problemas excelente producto
2737,"El empaque no es el mejor, el producto si es muy bueno, es caja genérica con cargador genérico, el cubo es terrible pero el cable vale la pena"
2738,"Me gusto que venía en muy buen estado, además de que lo empaquetan muy bien, me sorprendió, nunca había comprado Reacondicionado y sin duda lo volvería a hacer, además me regalo una mica, obvio los accesorios no son originales ni la caja pero eso ya lo especifican en su descripción así que todo bien"
2739,"La verdad había muchos comentarios al respecto, pero a mi me tocó la suerte de que el celular venía con una condición de pila del 98%, físicamente se veía intacto, todo me ha funcionado al 100% y venía con mica. La verdad el cargador si esta chafa no lo recomiendo usar diario, solo para emergencias."
2740,"Estéticamente el iphone lucia muy bien sin embargo no entiendo como pueden vender un equipo con una calidad de batería tan mala (78%) incluso mostraba mensaje para ser reemplazada, a los pocos dias dejo de funcionar (ya no encendió) así que decidí realizar la devolución y no he recibido mi reembolso"
2741,"Estoy muy satisfecho con la compra, vino con 98% del estado de la batería, y la estética es casi de la 10 ya que tiene unos pequeños puntitos blancos cerca de los botones, pero son impresentables a menos que te interesen mucho los detalles estéticos, además de que vino con una mica vidrio templado"
2742,"Hola, al conectarlo con los cables que vienen en la caja me dio una descarga eléctrica en la mano que sostenía el teléfono y no carga con cables.... solo inalámbrico.....muy mala compra"
2743,Muy bueno solamente un pequeño raspón en la cámara y la batería al 98 pero es entendible que sea un dispositivo de este estilo.
2744,"Algo trae mal este celular, se desconecta constantemente de mis EarPods y para cargar el equipo debo jugar el cable, como si estuviera flojo o haciendo un falso contacto. No modo, a devolverlo. La estética sí es muy buena, ni se ve que es usado"
2745,"Al principio con tantos comentarios buenos y malos me dio un poco de miedo pero mi teléfono me llegó sin ningún rayón, batería al 100% ,todo al 100 si no fuera por la caja y el cargador genérico diría que viene de tienda, al momento todo bien igual lo seguiré probando. Lo recomiendo 👍"
2746,"Fue una excelente compra! El teléfono está como nuevo, no tiene ni una sola falla. Llegó en una caja genérica, como dice la publicación, y con accesorios que no son Marca Apple pero son totalmente nuevos. Además llegó antes. Estoy muy satisfecho con la compra."
2747,"El teléfono llegó sin detalles estéticos, solo que no es compatible con compañías como pillofon, me cambie de AT&T y sin problemas. Su pila dura bastante tiempo. Buen producto por el precio."
2748,"AL principio dudaba mucho de comprarlo, ya que había comprando un equipo igual en otro lugar y salió muy mal, en cambio aquí el paquete bien sellado, la batería traía un 87% de vida, el equipo no vine con algún golpe estético.hasta el momento todo bien, seguiré informando."
2749,"The media could not be loaded.
                




   El producto llegó impecable tenia mis dudas porque comencé a leer los comentarios y las reseñas habia unas buenas y otras malas pero lo mejor de la historia es que soy del porcentaje del que no podemos quejarnos me llego en un excelente estado"
2750,Me llegó con la pantalla abierta en la parte de abajo y el auricular sucio. No lo recomiendo.
2751,"Llegó prácticamente nuevo, sin rasguños, todo funcional y batería con 100 de vida, tal cual la descripción es el producto."
2752,Para ser Reacondicionado está muy bien la vdd en cuestión física doy un 10 pero en cuestión de la batería deberían mejorarla a un 90% por lo menos
2753,El teléfono viene en perfectas condiciones pero viene con un cargador que no sirve adicionalmente arroja un mensaje que indica que no se puede identificar el estado de la batería … estamos probando a ver qué tal sigue funcionando
2754,Miren la verdad tenía miedo al comprarlo pero se ve que los que lo venden son técnicos calificados ya que el mío decía que la pila se estaba re calibrando y tenía 96 y se re calibró y saco el 100 % por ende yo creo que le cambias la pila 100 recomendado la verdad me gusto no tenía nada de golpes
2755,"Cuando lei algunos comentarios de malas experiencias pense que me llegaria un telefono muy usado y con alguna falla, pero no fue asi. El telefono tiene estetica 9/10, ninguna abolladura, funciona a la perfeccion. Eso si, llega con caja y cargador genericos"
2756,Buen producto casi nuevo bateria con un 94%
2757,"Tenía mis dudas si comprarlo, pero lo recibí muy rápido sin detalles y funciona súper bien, además de que llegó con una mica protectora incluida muy bueno"
2758,"Es algo que ya me lo venía venir, sooo puedo decir que estoy satisfecho de verdad el cel está al 100%, todo perfecto literal esta nuevo, recomiendo demasiado este vendedor !💪🏻"
2759,"La verdad es que me sorprendió mucho que el teléfono está casi 100% como nuevo, solo tiene la batería al 93% y un ligero rasguño en el área de las cámaras, pero por el precio siento que lo vale totalmente"
2760,"Tuve que regresar el artículo, hacia un ruido raro y vibraba continuamente cada vez que abría la cámara... Por lo que leí, está relacionado con el estabilizador de la cámara ."
2761,Funciona perfecto
2762,"Para el precio que tenía, me pareció que cumple, batería al 88%, y solamente me lamento de no haber esperado que bajara más el precio jaja, con un precio menor, sí estaríamos hablando de una excelentísima relación calidad-precio. Muy recomendable, puede que les toque uno en mejores condiciones."
2763,"El teléfono viene en muy mal estado. Con demasiados golpes en los lados, y muy rayada la parte de atrás. Además la batería ya viene con calidad de menos del 90%, y se calienta en extremo el teléfono sin hacer mucho uso de él."
2764,Delighted with this purchase which arrived within 3 days.The phone itself is in great condition and transfer from my old phone was quick and easy.Everything is working really well and looks like new!
2765,No me gusto lo que recibi por que la pantalla  estaba muy rallada y tenía pixels muertos que en un año de podría expandir y no sería functional es por eso que regrese el producto y estoy en espera de mi reembolso que espero sea en su totalidad.
2766,"Llegó bien, tiene el 100% de vida de la batería y estéticamente impecable. Lo único malo es que me llegó una versión que no soporta la banda B28 por lo que no sería compatible con Altan. Pero para Telcel, AT&T o Movistar sin problema."
2767,"En general, muy bien empaquetado, el telefono al 99% estetico, funcionamiento hasta el momento no he tenido fallas, solo la bateria estaba al 86%, pero por el precio esta bien. Lo recomiendo, llevo un mes con el y sin problema."
2768,A mi hija le encantó pues el color es muy femenino y de buen gusto
2769,"El teléfono me llegó con batería al 100% no tiene ningún golpe ni rayón; me llegó como nuevo. No viene en su caja original, tampoco incluye audífonos, solo cargador genérico. Estoy muy feliz con la compra y hasta el momento no le falla nada."
2770,"En la descripción detalla perfectamente lo que te mandan, el equipo llego en buen estado, bien cuidado, es original y los accesorios que dan son genéricos al igual que la caja, recomiendo infinita mente el vendedor y este tipo de artículos."
2771,Producto USADO.1-. Pantalla Rayalla.2-. Raspado y con golpes.3-. No tiene garantia con el fabricante.4-. Cargador y cable No originales (Genericos)No lo recomiendo.
2772,"El producto me llegó en muy buenas condiciones, el celular no tiene ni un rayón. La única diferencia contra uno nuevo es que llegó con capacidad de batería del 86% pero por el precio y la excelente condición con la que llegó el iPhone creo que estoy más que satisfecho"
